EPIC,DATETIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
GBPUSD,2019-07-26 03:05:00,1.24472,1.24472,1.2447,1.2447,17809.9995
GBPUSD,2019-07-26 03:06:00,1.24471,1.24471,1.24469,1.24469,56720.0012
GBPUSD,2019-07-26 03:07:00,1.24469,1.24472,1.24469,1.24471,41290.0009
GBPUSD,2019-07-26 03:08:00,1.2447,1.24472,1.2447,1.2447,14760.0002
GBPUSD,2019-07-26 03:09:00,1.24469,1.24471,1.24463,1.24463,57610.0006
GBPUSD,2019-07-26 03:10:00,1.24463,1.24463,1.24457,1.24461,22489.9998
GBPUSD,2019-07-26 03:11:00,1.24461,1.24461,1.24451,1.24451,24020.0005
GBPUSD,2019-07-26 03:12:00,1.24452,1.24452,1.24441,1.24442,18739.9998
GBPUSD,2019-07-26 03:13:00,1.24446,1.24448,1.24439,1.24442,13750
GBPUSD,2019-07-26 03:14:00,1.24441,1.2445,1.24441,1.2445,47250
GBPUSD,2019-07-26 03:15:00,1.24451,1.24451,1.24445,1.24451,23069.9997
GBPUSD,2019-07-26 03:16:00,1.2445,1.24455,1.2445,1.24454,25750
GBPUSD,2019-07-26 03:17:00,1.24459,1.2446,1.24456,1.24458,37340.0002
GBPUSD,2019-07-26 03:18:00,1.24455,1.24462,1.24455,1.2446,22229.9995
GBPUSD,2019-07-26 03:19:00,1.24461,1.24462,1.24455,1.24461,15350.0004
GBPUSD,2019-07-26 03:20:00,1.24462,1.24462,1.24457,1.24462,18989.9998
GBPUSD,2019-07-26 03:21:00,1.24461,1.24463,1.24461,1.24462,27190.0005
GBPUSD,2019-07-26 03:22:00,1.24462,1.24462,1.2446,1.2446,6590.0002
GBPUSD,2019-07-26 03:23:00,1.24463,1.24463,1.24456,1.24459,80370.0027
GBPUSD,2019-07-26 03:24:00,1.24459,1.24461,1.24456,1.24456,12159.9998
GBPUSD,2019-07-26 03:25:00,1.24452,1.24452,1.24452,1.24452,8000
GBPUSD,2019-07-26 03:26:00,1.24452,1.24463,1.24451,1.24461,53250
GBPUSD,2019-07-26 03:27:00,1.24462,1.24462,1.2446,1.24461,21969.9993
GBPUSD,2019-07-26 03:28:00,1.24461,1.24463,1.24461,1.24461,4800.0002
GBPUSD,2019-07-26 03:29:00,1.24463,1.2447,1.24461,1.2447,30860.0006
GBPUSD,2019-07-26 03:30:00,1.24472,1.2448,1.24472,1.24472,45279.9988
GBPUSD,2019-07-26 03:31:00,1.24473,1.24474,1.24471,1.24472,35130.0011
GBPUSD,2019-07-26 03:32:00,1.24472,1.24492,1.24472,1.24491,70339.9963
GBPUSD,2019-07-26 03:33:00,1.24489,1.2449,1.24481,1.24481,27959.9991
GBPUSD,2019-07-26 03:34:00,1.24483,1.2449,1.24483,1.2449,14170.0001
GBPUSD,2019-07-26 03:35:00,1.2449,1.24491,1.24488,1.24488,29670.0001
GBPUSD,2019-07-26 03:36:00,1.2449,1.2449,1.24481,1.24483,100760.0021
GBPUSD,2019-07-26 03:37:00,1.24483,1.24483,1.2448,1.2448,11510.0002
GBPUSD,2019-07-26 03:38:00,1.24482,1.24482,1.2448,1.2448,2500
GBPUSD,2019-07-26 03:39:00,1.24481,1.24481,1.24479,1.2448,21409.9998
GBPUSD,2019-07-26 03:40:00,1.2448,1.24482,1.2448,1.2448,23399.9996
GBPUSD,2019-07-26 03:41:00,1.2448,1.2448,1.24479,1.24479,35880.0011
GBPUSD,2019-07-26 03:42:00,1.24479,1.24481,1.24479,1.24481,33939.9986
GBPUSD,2019-07-26 03:43:00,1.24481,1.24481,1.24479,1.24479,50319.9997
GBPUSD,2019-07-26 03:44:00,1.24477,1.24477,1.2447,1.24471,26989.9998
GBPUSD,2019-07-26 03:45:00,1.24471,1.24471,1.24469,1.24469,33750
GBPUSD,2019-07-26 03:46:00,1.2447,1.24471,1.2447,1.2447,9920.0001
GBPUSD,2019-07-26 03:47:00,1.2447,1.2447,1.24463,1.24463,22290.0009
GBPUSD,2019-07-26 03:48:00,1.24464,1.24468,1.24462,1.24462,45819.9997
GBPUSD,2019-07-26 03:49:00,1.24461,1.24462,1.24459,1.24462,46029.9988
GBPUSD,2019-07-26 03:50:00,1.24461,1.24472,1.2446,1.24472,30920.0001
GBPUSD,2019-07-26 03:51:00,1.2447,1.2447,1.24468,1.2447,27350.0004
GBPUSD,2019-07-26 03:52:00,1.24471,1.24472,1.24471,1.24471,9409.9998
GBPUSD,2019-07-26 03:53:00,1.2447,1.2447,1.2447,1.2447,2200
GBPUSD,2019-07-26 03:54:00,1.2447,1.24472,1.24469,1.2447,37689.9986
GBPUSD,2019-07-26 03:55:00,1.2447,1.24471,1.24469,1.24469,25709.9991
GBPUSD,2019-07-26 03:56:00,1.24468,1.24468,1.24462,1.24463,51250
GBPUSD,2019-07-26 03:57:00,1.24462,1.24462,1.24462,1.24462,1250
GBPUSD,2019-07-26 03:58:00,1.24461,1.24461,1.24461,1.24461,6270
GBPUSD,2019-07-26 03:59:00,1.24461,1.24461,1.24461,1.24461,2400.0001
GBPUSD,2019-07-26 04:00:00,1.2446,1.2446,1.24448,1.24449,40810.0014
GBPUSD,2019-07-26 04:01:00,1.24449,1.24455,1.24448,1.24451,41520.0005
GBPUSD,2019-07-26 04:02:00,1.24453,1.24458,1.24452,1.24458,9310.0004
GBPUSD,2019-07-26 04:03:00,1.2446,1.2446,1.2446,1.2446,1470
GBPUSD,2019-07-26 04:04:00,1.24461,1.24463,1.24461,1.24461,30870.0008
GBPUSD,2019-07-26 04:05:00,1.2446,1.24461,1.24458,1.24459,56759.9983
GBPUSD,2019-07-26 04:06:00,1.2446,1.24461,1.24459,1.2446,16809.9995
GBPUSD,2019-07-26 04:07:00,1.24461,1.24462,1.24459,1.24459,26409.9998
GBPUSD,2019-07-26 04:08:00,1.24462,1.24462,1.24458,1.2446,19840.0002
